Soru No,Soru,Cevap,Doğru Cevap
1,Makinenin en fazla arıza yaptığı tarih aralığını verebilir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını söyler misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını belirtir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını açıklayabilir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını paylaşır mısın?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi verebilir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi söyler misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi belirtir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi açıklayabilir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi paylaşır mısın?,,
