Soru No,Soru,Cevap,Doğru Cevap
1,Makinenin en fazla arıza yaptığı tarih aralığını verebilir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
1,Makinenin en fazla arıza yaptığı tarih aralığını söyler misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
1,Makinenin en fazla arıza yaptığı tarih aralığını belirtir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
1,Makinenin en fazla arıza yaptığı tarih aralığını açıklayabilir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
1,Makinenin en fazla arıza yaptığı tarih aralığını paylaşır mısın?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,"2023-01-19, 2023-01-20, 2023-01-21, 2023-01-22, 2023-01-23, 2023-01-24, 2023-01-25, 2023-01-26, 2023-01-27, 2023-01-28, 2023-01-29, 2023-01-30, 2023-02-01, 2023-10-02, 2023-10-03",
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,"2023-01-19, 2023-01-20, 2023-01-21, 2023-01-22, 2023-01-23, 2023-01-24, 2023-01-25, 2023-01-26, 2023-01-27, 2023-01-28, 2023-01-29, 2023-01-30, 2023-02-01, 2023-10-02, 2023-10-03",
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,"2023-01-19, 2023-01-20, 2023-01-21, 2023-01-22, 2023-01-23, 2023-01-24, 2023-01-25, 2023-01-26, 2023-01-27, 2023-01-28, 2023-01-29, 2023-01-30, 2023-02-01, 2023-10-02, 2023-10-03",
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,2023-05-03,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,2023-05-03,
4,Makine performansındaki dalgalanmalar hakkında bilgi verebilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
4,Makine performansındaki dalgalanmalar hakkında bilgi söyler misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
4,Makine performansındaki dalgalanmalar hakkında bilgi belirtir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
4,Makine performansındaki dalgalanmalar hakkında bilgi açıklayabilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
4,Makine performansındaki dalgalanmalar hakkında bilgi paylaşır mısın?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu verebilir misin?,14351,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu söyler misin?,14351,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu belirtir misin?,14351,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu açıklayabilir misin?,14351,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu paylaşır mısın?,14351,
6,Makine hangi değerlerde sarı alarma geçiyor verebilir misin?,2.8–11.2 mm/s,
6,Makine hangi değerlerde sarı alarma geçiyor söyler misin?,2.8–11.2 mm/s,
6,Makine hangi değerlerde sarı alarma geçiyor belirtir misin?,2.8–11.2 mm/s,
6,Makine hangi değerlerde sarı alarma geçiyor açıklayabilir misin?,14+ mm/s,
6,Makine hangi değerlerde sarı alarma geçiyor paylaşır mısın?,14+ mm/s,
7,Makine hangi değerlerde kırmızı alarma geçiyor verebilir misin?,14+ mm/s,
