Soru No,Soru,Cevap,Doğru Cevap
1,Makinenin en fazla arıza yaptığı tarih aralığını verebilir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını söyler misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını belirtir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını açıklayabilir misin?,,
1,Makinenin en fazla arıza yaptığı tarih aralığını paylaşır mısın?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi verebilir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi söyler misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi belirtir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi açıklayabilir misin?,,
4,Makine performansındaki dalgalanmalar hakkında bilgi paylaşır mısın?,,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu verebilir misin?,,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu söyler misin?,,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu belirtir misin?,,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu açıklayabilir misin?,,
5,01/01/2023–31/12/2023 aralığında makinede kaç kez alarm durumu oluştu paylaşır mısın?,,
6,Makine hangi değerlerde sarı alarma geçiyor verebilir misin?,,
6,Makine hangi değerlerde sarı alarma geçiyor söyler misin?,,
6,Makine hangi değerlerde sarı alarma geçiyor belirtir misin?,,
6,Makine hangi değerlerde sarı alarma geçiyor açıklayabilir misin?,,
6,Makine hangi değerlerde sarı alarma geçiyor paylaşır mısın?,,
7,Makine hangi değerlerde kırmızı alarma geçiyor verebilir misin?,,
7,Makine hangi değerlerde kırmızı alarma geçiyor söyler misin?,,
7,Makine hangi değerlerde kırmızı alarma geçiyor belirtir misin?,,
7,Makine hangi değerlerde kırmızı alarma geçiyor açıklayabilir misin?,,
7,Makine hangi değerlerde kırmızı alarma geçiyor paylaşır mısın?,,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı verebilir misin?,,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı söyler misin?,,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı belirtir misin?,,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı açıklayabilir misin?,,
8,15/02/2023 tarihinde RTF makinesi hangi değer aralığında çalıştı paylaşır mısın?,,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi verebilir misin?,,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi söyler misin?,,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi belirtir misin?,,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi açıklayabilir misin?,,
9,15/02/2023 tarihinde RTF makinesinin renk seviyesinde değer gösterdi paylaşır mısın?,,
10,15/02/2023 tarihinde makine performansı hakkında bilgi alabilir miyim verebilir misin?,,
