Soru No,Soru,Cevap,Doğru Cevap
1,Makinenin en fazla arıza yaptığı tarih aralığını verebilir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,
1,Makinenin en fazla arıza yaptığı tarih aralığını söyler misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,evet
1,Makinenin en fazla arıza yaptığı tarih aralığını belirtir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,evet
1,Makinenin en fazla arıza yaptığı tarih aralığını açıklayabilir misin?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,evet
1,Makinenin en fazla arıza yaptığı tarih aralığını paylaşır mısın?,2023-05-03 05:54 ile 2023-05-03 17:21 arasında,evet
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,2023-01-24,
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,2023-01-24,evet
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,2023-01-24,evet
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,2023-05-03,hayır
2,Geçmişte sarı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,2023-05-03,hayır
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü verebilir misin?,2023-05-03,
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü söyler misin?,2023-05-03,evet
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü belirtir misin?,2023-05-03,evet
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü açıklayabilir misin?,2023-05-03,evet
3,Geçmişte kırmızı alarm seviyesinde en çok hangi tarihlerde görüldü paylaşır mısın?,2023-05-03,evet
4,Makine performansındaki dalgalanmalar hakkında bilgi verebilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
4,Makine performansındaki dalgalanmalar hakkında bilgi söyler misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
4,Makine performansındaki dalgalanmalar hakkında bilgi belirtir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
4,Makine performansındaki dalgalanmalar hakkında bilgi açıklayabilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
4,Makine performansındaki dalgalanmalar hakkında bilgi paylaşır mısın?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
5,… aralığında makinede kaç kez alarm durumu oluştu verebilir misin?,2023-05-03,
5,… aralığında makinede kaç kez alarm durumu oluştu söyler misin?,2023-05-03,evet
5,… aralığında makinede kaç kez alarm durumu oluştu belirtir misin?,2023-05-03,evet
5,… aralığında makinede kaç kez alarm durumu oluştu açıklayabilir misin?,2023-05-03,evet
5,… aralığında makinede kaç kez alarm durumu oluştu paylaşır mısın?,2023-05-03,evet
6,Makine hangi değerlerde sarı alarma geçiyor verebilir misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,
6,Makine hangi değerlerde sarı alarma geçiyor söyler misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,evet
6,Makine hangi değerlerde sarı alarma geçiyor belirtir misin?,Green: 0–2.8 mm/s; Yellow: 2.8–11.2 mm/s; Orange: 11.2–14 mm/s; Red: 14+ mm/s,evet
6,Makine hangi değerlerde sarı alarma geçiyor açıklayabilir misin?,14+ mm/s,hayır
6,Makine hangi değerlerde sarı alarma geçiyor paylaşır mısın?,14+ mm/s,hayır
7,Makine hangi değerlerde kırmızı alarma geçiyor verebilir misin?,14+ mm/s,
7,Makine hangi değerlerde kırmızı alarma geçiyor söyler misin?,14+ mm/s,evet
7,Makine hangi değerlerde kırmızı alarma geçiyor belirtir misin?,14+ mm/s,evet
7,Makine hangi değerlerde kırmızı alarma geçiyor açıklayabilir misin?,14+ mm/s,evet
7,Makine hangi değerlerde kırmızı alarma geçiyor paylaşır mısın?,14+ mm/s,evet
8,… tarihinde RTF makinesi hangi değer aralığında çalıştı verebilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",
8,… tarihinde RTF makinesi hangi değer aralığında çalıştı söyler misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
8,… tarihinde RTF makinesi hangi değer aralığında çalıştı belirtir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
8,… tarihinde RTF makinesi hangi değer aralığında çalıştı açıklayabilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
8,… tarihinde RTF makinesi hangi değer aralığında çalıştı paylaşır mısın?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
9,… tarihinde RTF makinesinin renk seviyesinde değer gösterdi verebilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",
9,… tarihinde RTF makinesinin renk seviyesinde değer gösterdi söyler misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
9,… tarihinde RTF makinesinin renk seviyesinde değer gösterdi belirtir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
9,… tarihinde RTF makinesinin renk seviyesinde değer gösterdi açıklayabilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
9,… tarihinde RTF makinesinin renk seviyesinde değer gösterdi paylaşır mısın?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",evet
10,… tarihinde makine performansı hakkında bilgi alabilir miyim verebilir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,
10,… tarihinde makine performansı hakkında bilgi alabilir miyim söyler misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",hayır
10,… tarihinde makine performansı hakkında bilgi alabilir miyim belirtir misin?,Değerler 0.00–241.18 mm/s arasında dalgalanmıştır.,evet
10,… tarihinde makine performansı hakkında bilgi alabilir miyim açıklayabilir misin?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",hayır
10,… tarihinde makine performansı hakkında bilgi alabilir miyim paylaşır mısın?,"Lütfen sorunuzda bir tarih belirtin (örn. ""15 Şubat 2023"").",hayır
11,RTF makinesi hangi tarihler aralığında turuncu alarm seviyesinde çalıştı verebilir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
11,RTF makinesi hangi tarihler aralığında turuncu alarm seviyesinde çalıştı söyler misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",evet
11,RTF makinesi hangi tarihler aralığında turuncu alarm seviyesinde çalıştı belirtir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",evet
11,RTF makinesi hangi tarihler aralığında turuncu alarm seviyesinde çalıştı açıklayabilir misin?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",evet
11,RTF makinesi hangi tarihler aralığında turuncu alarm seviyesinde çalıştı paylaşır mısın?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",evet
12,2023 yılında makine performansı nasıldı verebilir misin?,"2023 performansı: min=0.00, max=241.18, ort=2.95 mm/s",
12,2023 yılında makine performansı nasıldı söyler misin?,"2023 performansı: min=0.00, max=241.18, ort=2.95 mm/s",evet
12,2023 yılında makine performansı nasıldı belirtir misin?,"2023 performansı: min=0.00, max=241.18, ort=2.95 mm/s",evet
12,2023 yılında makine performansı nasıldı açıklayabilir misin?,"2023 performansı: min=0.00, max=241.18, ort=2.95 mm/s",evet
12,2023 yılında makine performansı nasıldı paylaşır mısın?,"2023 performansı: min=0.00, max=241.18, ort=2.95 mm/s",evet
13,Son bir yıl içinde makine hangi günlerde tamamen durdu verebilir misin?,,
13,Son bir yıl içinde makine hangi günlerde tamamen durdu söyler misin?,,hayır
13,Son bir yıl içinde makine hangi günlerde tamamen durdu belirtir misin?,,hayır
13,Son bir yıl içinde makine hangi günlerde tamamen durdu açıklayabilir misin?,,hayır
13,Son bir yıl içinde makine hangi günlerde tamamen durdu paylaşır mısın?,,hayır
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu verebilir misin?,"2023-05-02, 2023-05-03",
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu söyler misin?,"2023-05-02, 2023-05-03",evet
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu belirtir misin?,"2023-05-02, 2023-05-03",evet
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu açıklayabilir misin?,"2023-05-02, 2023-05-03",evet
14,Kırmızı seviyede çalıştığı tarihlerde makine tamamen durdu mu paylaşır mısın?,"2023-05-02, 2023-05-03",evet
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir verebilir misin?,12316.93 saat (739016 dakika),
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir söyler misin?,12316.93 saat (739016 dakika),evet
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir belirtir misin?,12316.93 saat (739016 dakika),evet
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir açıklayabilir misin?,12316.93 saat (739016 dakika),evet
15,15 Ocak 2023’ten itibaren yeşil alarmda çalışılan toplam süre nedir paylaşır mısın?,12316.93 saat (739016 dakika),evet
